t p_lowerLD p_upperLD p_lowerST p_upperST t_lowerLD t_upperLD t_lowerST t_upperST p_LDqubit_STduration_lower p_LDqubit_STduration_upper p_210_STduration_lower p_210_STduration_upper p_2100_STduration_lower p_2100_STduration_upper p_measST
0.000000102801630 0.196937616477883 0.592087571201869 0.004731004659072 0.004796633444270 0.000011507992892 0.000030968097789 0.000000882760776 0.000001805603260 0.000882742057134 0.003682745848217 0.000008835144030 0.000036962388036 0.000000088352213 0.000000369637407 0.038219814001868
0.000000103752842 0.197251804119107 0.593196986139594 0.004721451512292 0.004786636710869 0.000011510020459 0.000031025170495 0.000000882331515 0.000001807505683 0.000881884518719 0.003690481655943 0.000008826553638 0.000037040314962 0.000000088266308 0.000000370416733 0.038085718226726
0.000000104712855 0.197568355319923 0.594309908877135 0.004711834197738 0.004776576205474 0.000011512135417 0.000031082771288 0.000000881897123 0.000001809425710 0.000881017153150 0.003698297179511 0.000008817864818 0.000037119046129 0.000000088179418 0.000000371204102 0.037950771033001
0.000000105681751 0.197887279722774 0.595426258546191 0.004702152558866 0.004766451805450 0.000011514340482 0.000031140905055 0.000000881457544 0.000001811363502 0.000880139865537 0.003706193307410 0.000008809076619 0.000037198590525 0.000000088091534 0.000000371999605 0.037814970998438
0.000000106659612 0.198208586711502 0.596545952202456 0.004692406445170 0.004756263394306 0.000011516638431 0.000031199576727 0.000000881012724 0.000001813319224 0.000879252560840 0.003714170939146 0.000008800188090 0.000037278957251 0.000000088002648 0.000000372803331 0.037678316785879
0.000000107646521 0.198532285398241 0.597668904813065 0.004682595712354 0.004746010861833 0.000011519032107 0.000031258791282 0.000000880562607 0.000001815293043 0.000878355143894 0.003722230985391 0.000008791198278 0.000037360155521 0.000000087912748 0.000000373615374 0.037540807145277
0.000000108642562 0.198858384609915 0.598795029244980 0.004672720222499 0.004735694104277 0.000011521524417 0.000031318553742 0.000000880107137 0.000001817285125 0.000877447519440 0.003730374368141 0.000008782106229 0.000037442194662 0.000000087821826 0.000000374435826 0.037402440915739
0.000000109647820 0.199186892874322 0.599924236254341 0.004662779844242 0.004725313024511 0.000011524118331 0.000031378869177 0.000000879646257 0.000001819295639 0.000876529592165 0.003738602020878 0.000008772910989 0.000037525084121 0.000000087729872 0.000000375264782 0.037263217027595
0.000000110662378 0.199517818405803 0.601056434476850 0.004652774452951 0.004714867532182 0.000011526816888 0.000031439742704 0.000000879179912 0.000001821324757 0.000875601266727 0.003746914888722 0.000008763611604 0.000037608833461 0.000000087636876 0.000000376102338 0.037123134504488
0.000000111686325 0.199851169090494 0.602191530419204 0.004642703930903 0.004704357543907 0.000011529623191 0.000031501179487 0.000000878708044 0.000001823372650 0.000874662447799 0.003755313928605 0.000008754207119 0.000037693452365 0.000000087542830 0.000000376948590 0.036982192465495
0.000000112719746 0.200186952471149 0.603329428451656 0.004632568167471 0.004693782983428 0.000011532540415 0.000031563184737 0.000000878230598 0.000001825439491 0.000873713040099 0.003763800109426 0.000008744696580 0.000037778950640 0.000000087447723 0.000000377803637 0.036840390127270
0.000000113762729 0.200525175731532 0.604470030801720 0.004622367059308 0.004683143781798 0.000011535571798 0.000031625763715 0.000000877747515 0.000001827525457 0.000872752948434 0.003772374412230 0.000008735079034 0.000037865338214 0.000000087351546 0.000000378667577 0.036697726806212
0.000000114815362 0.200865845680364 0.605613237549077 0.004612100510532 0.004672439877549 0.000011538720652 0.000031688921729 0.000000877258740 0.000001829630724 0.000871782077733 0.003781037830368 0.000008725353530 0.000037952625141 0.000000087254289 0.000000379540512 0.036554201920660
0.000000115877736 0.201208968734836 0.606758946621744 0.004601768432920 0.004661671216892 0.000011541990355 0.000031752664137 0.000000876764213 0.000001831755471 0.000870800333095 0.003789791369681 0.000008715519118 0.000038040821602 0.000000087155943 0.000000380422543 0.036409814993110
0.000000116949939 0.201554550903665 0.607907053793518 0.004591370746103 0.004650837753875 0.000011545384357 0.000031816996346 0.000000876263879 0.000001833899878 0.000869807619827 0.003798636048669 0.000008705574849 0.000038129937908 0.000000087056499 0.000000381313773 0.036264565652459
0.000000118032064 0.201902597769698 0.609057452682789 0.004580907377759 0.004639939450604 0.000011548906180 0.000031881923814 0.000000875757680 0.000001836064127 0.000868803843489 0.003807572898673 0.000008695519778 0.000038219984498 0.000000086955946 0.000000382214307 0.036118453636275
